Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4RDT0,A0A2B4RDT0_STYPI,unreviewed,RuvB-like helicase (EC 3.6.4.12),ruvbl1 AWC38_SpisGene19201,Stylophora pistillata (Smooth cauliflower coral),455,,Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; R2TP complex [GO:0097255],Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; R2TP complex [GO:0097255]; ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141],ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141],GO:0005524; GO:0031011; GO:0035267; GO:0043141; GO:0097255,,,PF06068;,A0A2B4RDT0
A7S4P7,A7S4P7_NEMVE,unreviewed,Predicted protein,v1g242832,Nematostella vectensis (Starlet sea anemone),930,negative regulation of transcription by RNA polymerase II [GO:0000122],nucleus [GO:0005634],nucleus [GO:0005634]; negative regulation of transcription by RNA polymerase II [GO:0000122],,GO:0000122; GO:0005634,nve:NEMVE_v1g242832;,K18260;,PF00168;,A7S4P7
A0A2B4RPK4,A0A2B4RPK4_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene16498,Stylophora pistillata (Smooth cauliflower coral),1061,,,nucleic acid binding [GO:0003676],nucleic acid binding [GO:0003676],GO:0003676,,,,A0A2B4RPK4
A0A2B4SHM7,A0A2B4SHM7_STYPI,unreviewed,Partitioning defective 6-like gamma,Pard6g AWC38_SpisGene7322,Stylophora pistillata (Smooth cauliflower coral),327,,,,,,,,PF00564;PF00595;,A0A2B4SHM7
A0A2B4SLC8,A0A2B4SLC8_STYPI,unreviewed,Erlin-1,Erlin1 AWC38_SpisGene5380,Stylophora pistillata (Smooth cauliflower coral),336,ubiquitin-dependent ERAD pathway [GO:0030433],endoplasmic reticulum [GO:0005783],endoplasmic reticulum [GO:0005783]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-dependent ERAD pathway [GO:0030433],ubiquitin protein ligase binding [GO:0031625],GO:0005783; GO:0030433; GO:0031625,,,PF01145;,A0A2B4SLC8
A0A2B4RV45,A0A2B4RV45_STYPI,unreviewed,Putative serine/threonine-protein kinase PkwA,pkwA AWC38_SpisGene14845,Stylophora pistillata (Smooth cauliflower coral),323,,,kinase activity [GO:0016301],kinase activity [GO:0016301],GO:0016301,,,PF00400;,A0A2B4RV45
A0A2B4SNS1,A0A2B4SNS1_STYPI,unreviewed,Latrophilin-3,Lphn3 AWC38_SpisGene5050,Stylophora pistillata (Smooth cauliflower coral),1419,cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525],calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0005509; GO:0007166; GO:0016021; GO:0016525,,,PF00002;PF12947;PF00041;PF16489;PF01825;,A0A2B4SNS1
A0A2B4RP68,A0A2B4RP68_STYPI,unreviewed,Polycystic kidney disease protein 1-like 2,Pkd1l2 AWC38_SpisGene17029,Stylophora pistillata (Smooth cauliflower coral),2448,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509; GO:0016021,,,PF01825;PF08016;PF01477;PF02010;,A0A2B4RP68
A0A2B4SA77,A0A2B4SA77_STYPI,unreviewed,Carbonyl reductase [NADPH] 1,Cbr1 AWC38_SpisGene7732,Stylophora pistillata (Smooth cauliflower coral),576,,,,,,,,PF00106;PF10561;,A0A2B4SA77
A7SS67,A7SS67_NEMVE,unreviewed,Predicted protein (Fragment),v1g192951,Nematostella vectensis (Starlet sea anemone),899,actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014],,actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014],actin filament binding [GO:0051015],GO:0030036; GO:0051014; GO:0051015,nve:NEMVE_v1g192951;,,PF00626;PF13855;,A7SS67
A0A2B4RR96,A0A2B4RR96_STYPI,unreviewed,Mucin-4,MUC4 AWC38_SpisGene16818,Stylophora pistillata (Smooth cauliflower coral),3579,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],calcium ion binding [GO:0005509]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],GO:0004089; GO:0005509; GO:0008270; GO:0016021,,,PF00194;PF12662;PF00090;PF00094;,A0A2B4RR96
A0A2B4SXV3,A0A2B4SXV3_STYPI,unreviewed,WASH complex subunit FAM21,Fam21 AWC38_SpisGene1191,Stylophora pistillata (Smooth cauliflower coral),1763,,WASH complex [GO:0071203],WASH complex [GO:0071203],,GO:0071203,,,PF15255;,A0A2B4SXV3
A0A2B4SZ17,A0A2B4SZ17_STYPI,unreviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Svep1 AWC38_SpisGene1234,Stylophora pistillata (Smooth cauliflower coral),3266,,,,,,,,PF00754;PF00084;,A0A2B4SZ17
A0A2B4SHC7,A0A2B4SHC7_STYPI,unreviewed,Laminin subunit alpha,LanA AWC38_SpisGene6767,Stylophora pistillata (Smooth cauliflower coral),3556,,,,,,,,PF00052;PF00053;PF00054;PF02210;PF00055;,A0A2B4SHC7
A0A2B4RG49,A0A2B4RG49_STYPI,unreviewed,Putative RNA-directed DNA polymerase from transposon X-element,AWC38_SpisGene19594,Stylophora pistillata (Smooth cauliflower coral),1599,,integral component of membrane [GO:0016021],"integral component of membrane [GO:0016021]; methyltransferase activity [GO:0008168]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors [GO:0016706]; RNA-directed DNA polymerase activity [GO:0003964]","methyltransferase activity [GO:0008168]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors [GO:0016706]; RNA-directed DNA polymerase activity [GO:0003964]",GO:0003964; GO:0008168; GO:0016021; GO:0016706,,,PF13843;PF09004;PF00078;,A0A2B4RG49
A0A2B4RRU5,A0A2B4RRU5_STYPI,unreviewed,5-oxoprolinase,OPLAH AWC38_SpisGene15215,Stylophora pistillata (Smooth cauliflower coral),1312,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],GO:0016787,,,PF05378;PF01968;PF02538;,A0A2B4RRU5
A0A1A8U8U5,A0A1A8U8U5_NOTFU,unreviewed,Uncharacterized protein (Fragment),Nfu_g_1_024658,Nothobranchius furzeri (Turquoise killifish),1683,DNA integration [GO:0015074],,nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074],nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270],GO:0003676; GO:0008270; GO:0015074,,,PF03564;PF05380;PF00665;,A0A1A8U8U5
A0A2B4RXW0,A0A2B4RXW0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene14453,Stylophora pistillata (Smooth cauliflower coral),536,,,,,,,,,A0A2B4RXW0
A0A2B4RE08,A0A2B4RE08_STYPI,unreviewed,TNF receptor-associated factor 6,TRAF6 AWC38_SpisGene21320,Stylophora pistillata (Smooth cauliflower coral),534,regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165],,zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165],zinc ion binding [GO:0008270],GO:0007165; GO:0008270; GO:0042981,,,PF02176;,A0A2B4RE08
A0A2B4R6S1,A0A2B4R6S1_STYPI,unreviewed,Uncharacterized protein YbeQ,ybeQ AWC38_SpisGene23522,Stylophora pistillata (Smooth cauliflower coral),665,,,,,,,,PF08238;PF01753;,A0A2B4R6S1
A0A2B4S689,A0A2B4S689_STYPI,unreviewed,Rho GTPase-activating protein 21,Arhgap21 AWC38_SpisGene10819,Stylophora pistillata (Smooth cauliflower coral),1955,signal transduction [GO:0007165],,GTPase activator activity [GO:0005096]; phospholipid binding [GO:0005543]; signal transduction [GO:0007165],GTPase activator activity [GO:0005096]; phospholipid binding [GO:0005543],GO:0005096; GO:0005543; GO:0007165,,,PF00595;PF00620;,A0A2B4S689
A0A2B4SV79,A0A2B4SV79_STYPI,unreviewed,von Willebrand factor A domain-containing protein 5A,Vwa5a AWC38_SpisGene2408,Stylophora pistillata (Smooth cauliflower coral),4724,microtubule-based movement [GO:0007018],,ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777],GO:0003777; GO:0005524; GO:0007018; GO:0008017,,,PF00225;PF08487;PF13768;,A0A2B4SV79
A0A0G2SJM3,A0A0G2SJM3_EUPAN,unreviewed,17beta hydroxysteroid dehydrogenase type 14,,Euphyllia ancora (Hammer coral),271,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],GO:0016491,,,,A0A0G2SJM3
A0A2B4S6Z3,A0A2B4S6Z3_STYPI,unreviewed,Sacsin,Sacs AWC38_SpisGene11137,Stylophora pistillata (Smooth cauliflower coral),4425,,,,,,,,PF05168;,A0A2B4S6Z3
A0A2B4SH95,A0A2B4SH95_STYPI,unreviewed,Latrophilin-3,LPHN3 AWC38_SpisGene7364,Stylophora pistillata (Smooth cauliflower coral),1689,cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525],G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0007166; GO:0016021; GO:0016525,,,PF00002;PF16489;PF01825;PF02793;PF13895;PF01390;,A0A2B4SH95
A7T3N0,A7T3N0_NEMVE,unreviewed,Beta-hexosaminidase (EC 3.2.1.52),v1g248668,Nematostella vectensis (Starlet sea anemone),525,carbohydrate metabolic process [GO:0005975],,beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975],beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148],GO:0004563; GO:0005975; GO:0102148,nve:NEMVE_v1g248668;,,PF00728;PF14845;,A7T3N0
A0A2B4SZQ8,A0A2B4SZQ8_STYPI,unreviewed,Four and a half LIM domains protein 2,FHL2 AWC38_SpisGene467,Stylophora pistillata (Smooth cauliflower coral),563,,,zinc ion binding [GO:0008270],zinc ion binding [GO:0008270],GO:0008270,,,PF00412;PF06297;,A0A2B4SZQ8
A0A2B4SH69,A0A2B4SH69_STYPI,unreviewed,"Spectrin beta chain, erythrocytic",SPTB AWC38_SpisGene6574,Stylophora pistillata (Smooth cauliflower coral),1067,,,actin binding [GO:0003779]; dystroglycan binding [GO:0002162],actin binding [GO:0003779]; dystroglycan binding [GO:0002162],GO:0002162; GO:0003779,,,PF00307;PF00435;,A0A2B4SH69
A0A2B4S6W9,A0A2B4S6W9_STYPI,unreviewed,Purple acid phosphatase (EC 3.1.3.2),POGK AWC38_SpisGene10603,Stylophora pistillata (Smooth cauliflower coral),1389,"transposition, DNA-mediated [GO:0006313]",,"acid phosphatase activity [GO:0003993]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",acid phosphatase activity [GO:0003993]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; transposase activity [GO:0004803],GO:0003677; GO:0003993; GO:0004803; GO:0006313; GO:0046872,,,PF03184;PF01527;PF03221;PF00149;PF14008;PF16656;,A0A2B4S6W9
A7S335,A7S335_NEMVE,unreviewed,Predicted protein,v1g185061,Nematostella vectensis (Starlet sea anemone),2274,spliceosomal tri-snRNP complex assembly [GO:0000244],catalytic step 2 spliceosome [GO:0071013]; U5 snRNP [GO:0005682],catalytic step 2 spliceosome [GO:0071013]; U5 snRNP [GO:0005682]; pre-mRNA intronic binding [GO:0097157]; second spliceosomal transesterification activity [GO:0000386]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; spliceosomal tri-snRNP complex assembly [GO:0000244],pre-mRNA intronic binding [GO:0097157]; second spliceosomal transesterification activity [GO:0000386]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070],GO:0000244; GO:0000386; GO:0005682; GO:0017070; GO:0030619; GO:0030620; GO:0030623; GO:0071013; GO:0097157,nve:NEMVE_v1g185061;,K12856;,PF01398;PF08082;PF08083;PF08084;PF12134;PF10598;PF10597;PF10596;,A7S335
A0A2B4RXU7,A0A2B4RXU7_STYPI,unreviewed,Putative helicase with zinc finger domain,helz AWC38_SpisGene13876,Stylophora pistillata (Smooth cauliflower coral),2656,,,helicase activity [GO:0004386]; nuclear receptor transcription coactivator activity [GO:0030374],helicase activity [GO:0004386]; nuclear receptor transcription coactivator activity [GO:0030374],GO:0004386; GO:0030374,,,PF00773;,A0A2B4RXU7
A0A2B4RID2,A0A2B4RID2_STYPI,unreviewed,Receptor-type tyrosine-protein phosphatase F,ptprf AWC38_SpisGene19153,Stylophora pistillata (Smooth cauliflower coral),810,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF00754;PF00041;,A0A2B4RID2
A0A2B4SST8,A0A2B4SST8_STYPI,unreviewed,Gelsolin-like protein 2,gelsolin AWC38_SpisGene3521,Stylophora pistillata (Smooth cauliflower coral),353,,,actin filament binding [GO:0051015],actin filament binding [GO:0051015],GO:0051015,,,PF00626;,A0A2B4SST8
A0A2B4RFX9,A0A2B4RFX9_STYPI,unreviewed,Myelin expression factor 2,Myef2 AWC38_SpisGene20409,Stylophora pistillata (Smooth cauliflower coral),521,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00076;,A0A2B4RFX9
A0A2B4SIH2,A0A2B4SIH2_STYPI,unreviewed,Helicase domino,dom AWC38_SpisGene5525,Stylophora pistillata (Smooth cauliflower coral),2165,,,ATP binding [GO:0005524]; helicase activity [GO:0004386],ATP binding [GO:0005524]; helicase activity [GO:0004386],GO:0004386; GO:0005524,,,PF00271;PF07529;PF00176;,A0A2B4SIH2
A0A2B4SJA1,A0A2B4SJA1_STYPI,unreviewed,Stimulator of interferon genes protein,Tmem173 AWC38_SpisGene6020,Stylophora pistillata (Smooth cauliflower coral),375,activation of innate immune response [GO:0002218]; positive regulation of type I interferon production [GO:0032481],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; cyclic-di-GMP binding [GO:0035438]; activation of innate immune response [GO:0002218]; positive regulation of type I interferon production [GO:0032481],cyclic-di-GMP binding [GO:0035438],GO:0002218; GO:0016021; GO:0032481; GO:0035438,,,PF15009;,A0A2B4SJA1
A0A2D6S8R1,A0A2D6S8R1_9FLAO,unreviewed,Uncharacterized protein,CMB97_01595,Flavobacteriaceae bacterium,782,,,,,,,,PF00078;,A0A2D6S8R1
A0A2B4SGF2,A0A2B4SGF2_STYPI,unreviewed,Isoamyl acetate-hydrolyzing esterase 1-like,Iah1 AWC38_SpisGene7089,Stylophora pistillata (Smooth cauliflower coral),234,,,"hydrolase activity, acting on ester bonds [GO:0016788]","hydrolase activity, acting on ester bonds [GO:0016788]",GO:0016788,,,PF00657;,A0A2B4SGF2
A0A2B4SZN1,A0A2B4SZN1_STYPI,unreviewed,Laminin subunit beta-2,Lamb2 AWC38_SpisGene313,Stylophora pistillata (Smooth cauliflower coral),2239,,,,,,,,PF00052;PF00053;PF00055;,A0A2B4SZN1
A0A2B4SUJ9,A0A2B4SUJ9_STYPI,unreviewed,von Willebrand factor D and EGF domain-containing protein,VWDE AWC38_SpisGene2839,Stylophora pistillata (Smooth cauliflower coral),1036,intein-mediated protein splicing [GO:0016539],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; intein-mediated protein splicing [GO:0016539],,GO:0016021; GO:0016539,,,PF13403;,A0A2B4SUJ9
A0A2B4SX83,A0A2B4SX83_STYPI,unreviewed,Afadin,MLLT4 AWC38_SpisGene1368,Stylophora pistillata (Smooth cauliflower coral),1873,,cell-cell junction [GO:0005911],cell-cell junction [GO:0005911],,GO:0005911,,,PF01843;PF00498;PF00595;,A0A2B4SX83
A7SV26,A7SV26_NEMVE,unreviewed,Predicted protein,v1g174672,Nematostella vectensis (Starlet sea anemone),1103,signal transduction [GO:0007165],cell-cell junction [GO:0005911],cell-cell junction [GO:0005911]; signal transduction [GO:0007165],,GO:0005911; GO:0007165,nve:NEMVE_v1g174672;,K05702;,PF01843;PF00498;PF00595;PF00788;,A7SV26
A0A2B4SIZ9,A0A2B4SIZ9_STYPI,unreviewed,Protein PRRC1,prrc1 AWC38_SpisGene6145,Stylophora pistillata (Smooth cauliflower coral),357,,,,,,,,PF01931;,A0A2B4SIZ9
A0A2B4S1P5,A0A2B4S1P5_STYPI,unreviewed,Nucleoplasmin-like protein ANO39,AWC38_SpisGene12492,Stylophora pistillata (Smooth cauliflower coral),379,,,,,,,,PF03066;,A0A2B4S1P5
A0A1S3ICJ2,A0A1S3ICJ2_LINUN,unreviewed,putative ATP-dependent RNA helicase DHX57,LOC106162723,Lingula unguis,1383,,,ATP binding [GO:0005524]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676],ATP binding [GO:0005524]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004386; GO:0005524; GO:0046872,lak:106162723;,K13026;,PF00270;PF04408;PF00271;PF07717;PF05773;PF00642;,A0A1S3ICJ2
A0A2B4SX48,A0A2B4SX48_STYPI,unreviewed,"NAD(P) transhydrogenase, mitochondrial",Nnt AWC38_SpisGene2114,Stylophora pistillata (Smooth cauliflower coral),1088,proton transmembrane transport [GO:1902600],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; NAD(P)+ transhydrogenase activity [GO:0008746]; proton transmembrane transport [GO:1902600],NAD(P)+ transhydrogenase activity [GO:0008746],GO:0008746; GO:0016021; GO:1902600,,,PF01262;PF05222;PF02233;PF12769;,A0A2B4SX48
G8HTB9,G8HTB9_ACRMI,unreviewed,Uncharacterized protein,,Acropora millepora (Staghorn coral),425,carboxylic acid metabolic process [GO:0019752],,isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; carboxylic acid metabolic process [GO:0019752],isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872],GO:0004451; GO:0019752; GO:0046872,,,PF00463;,G8HTB9
A0A2B4S6C5,A0A2B4S6C5_STYPI,unreviewed,Myocilin,MYOC AWC38_SpisGene11263,Stylophora pistillata (Smooth cauliflower coral),335,,,,,,,,PF02191;,A0A2B4S6C5
A0A2B4SEH2,A0A2B4SEH2_STYPI,unreviewed,Glutamine synthetase (EC 6.3.1.2),GLUL AWC38_SpisGene7526,Stylophora pistillata (Smooth cauliflower coral),363,glutamine biosynthetic process [GO:0006542],,ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542],ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356],GO:0004356; GO:0005524; GO:0006542,,,PF00120;PF03951;,A0A2B4SEH2
A0A2B4RNA2,A0A2B4RNA2_STYPI,unreviewed,C-type mannose receptor 2,Mrc2 AWC38_SpisGene15657,Stylophora pistillata (Smooth cauliflower coral),3359,,,,,,,,PF00008;PF00059;PF07691;PF01477;PF01549;PF01822;,A0A2B4RNA2
A0A2B4SGD7,A0A2B4SGD7_STYPI,unreviewed,Splicing factor 3B subunit 1,sf3b1 AWC38_SpisGene6849,Stylophora pistillata (Smooth cauliflower coral),1320,spliceosomal complex assembly [GO:0000245],,mRNA binding [GO:0003729]; spliceosomal complex assembly [GO:0000245],mRNA binding [GO:0003729],GO:0000245; GO:0003729,,,PF08920;,A0A2B4SGD7
A0A2B4SF12,A0A2B4SF12_STYPI,unreviewed,F-actin-capping protein subunit alpha,cpa AWC38_SpisGene5975,Stylophora pistillata (Smooth cauliflower coral),226,barbed-end actin filament capping [GO:0051016],F-actin capping protein complex [GO:0008290],F-actin capping protein complex [GO:0008290]; actin binding [GO:0003779]; barbed-end actin filament capping [GO:0051016],actin binding [GO:0003779],GO:0003779; GO:0008290; GO:0051016,,,PF01267;,A0A2B4SF12
A0A2B4STC9,A0A2B4STC9_STYPI,unreviewed,Regulator of nonsense transcripts 1,UPF1 AWC38_SpisGene3378,Stylophora pistillata (Smooth cauliflower coral),885,,,ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787],ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787],GO:0003677; GO:0005524; GO:0016787,,,PF04851;,A0A2B4STC9
A7SR58,A7SR58_NEMVE,unreviewed,Predicted protein,v1g246872,Nematostella vectensis (Starlet sea anemone),1520,attachment of spindle microtubules to kinetochore [GO:0008608]; protein localization to kinetochore [GO:0034501],,attachment of spindle microtubules to kinetochore [GO:0008608]; protein localization to kinetochore [GO:0034501],,GO:0008608; GO:0034501,nve:NEMVE_v1g246872;,,PF08317;,A7SR58
T1J2H5,T1J2H5_STRMM,unreviewed,Uncharacterized protein,,Strigamia maritima (European centipede) (Geophilus maritimus),309,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00076;,T1J2H5
A0A2B4R6J9,A0A2B4R6J9_STYPI,unreviewed,Aggrecan core protein,ACAN AWC38_SpisGene23195,Stylophora pistillata (Smooth cauliflower coral),773,cell adhesion [GO:0007155],,carbohydrate binding [GO:0030246]; nucleic acid binding [GO:0003676]; cell adhesion [GO:0007155],carbohydrate binding [GO:0030246]; nucleic acid binding [GO:0003676],GO:0003676; GO:0007155; GO:0030246,,,PF09458;PF07648;PF00059;,A0A2B4R6J9
A7SG98,A7SG98_NEMVE,unreviewed,Predicted protein,v1g211830,Nematostella vectensis (Starlet sea anemone),159,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744],cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777],cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744],thioredoxin peroxidase activity [GO:0008379],GO:0005737; GO:0005739; GO:0005777; GO:0008379; GO:0034599; GO:0042744; GO:0045454,nve:NEMVE_v1g211830;,K11187;,PF08534;,A7SG98
A0A2B4S6N6,A0A2B4S6N6_STYPI,unreviewed,Nucleolysin TIAR,TIAL1 AWC38_SpisGene11226,Stylophora pistillata (Smooth cauliflower coral),413,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00076;,A0A2B4S6N6
A0A2B4SGR0,A0A2B4SGR0_STYPI,unreviewed,Putative disease resistance protein,AWC38_SpisGene6132,Stylophora pistillata (Smooth cauliflower coral),781,regulation of apoptotic process [GO:0042981],,ADP binding [GO:0043531]; regulation of apoptotic process [GO:0042981],ADP binding [GO:0043531],GO:0042981; GO:0043531,,,PF01335;PF00931;,A0A2B4SGR0
A0A2B4S8T1,A0A2B4S8T1_STYPI,unreviewed,Cytochrome P450 10,CYP10 AWC38_SpisGene10410,Stylophora pistillata (Smooth cauliflower coral),518,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",GO:0004497; GO:0005506; GO:0016705; GO:0020037,,,PF00067;,A0A2B4S8T1
A0A2B4RMM4,A0A2B4RMM4_STYPI,unreviewed,Uromodulin,UMOD AWC38_SpisGene17216,Stylophora pistillata (Smooth cauliflower coral),450,,,calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201],calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201],GO:0005201; GO:0005509,,,PF01410;PF07645;,A0A2B4RMM4
A0A2B4RU76,A0A2B4RU76_STYPI,unreviewed,Proteasome subunit beta (EC 3.4.25.1),Psmb2 AWC38_SpisGene15773,Stylophora pistillata (Smooth cauliflower coral),197,proteolysis involved in cellular protein catabolic process [GO:0051603],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839],cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603],threonine-type endopeptidase activity [GO:0004298],GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603,,,PF00227;,A0A2B4RU76
A0A2B4RJG7,A0A2B4RJG7_STYPI,unreviewed,Protein NDRG1,NDRG1 AWC38_SpisGene19333,Stylophora pistillata (Smooth cauliflower coral),335,,,,,,,,PF03096;,A0A2B4RJG7
A0A2B4RXV8,A0A2B4RXV8_STYPI,unreviewed,Lysophosphatidylcholine acyltransferase 2,Lpcat2 AWC38_SpisGene13492,Stylophora pistillata (Smooth cauliflower coral),512,,integral component of membrane [GO:0016021],"integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; transferase activity, transferring acyl groups [GO:0016746]","calcium ion binding [GO:0005509]; transferase activity, transferring acyl groups [GO:0016746]",GO:0005509; GO:0016021; GO:0016746,,,PF01553;PF13202;PF13499;,A0A2B4RXV8
W5MZI9,W5MZI9_LEPOC,unreviewed,Metalloendopeptidase (EC 3.4.24.-),,Lepisosteus oculatus (Spotted gar),952,,,calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],GO:0004222; GO:0005509; GO:0008270,,,PF01400;PF00431;PF07645;,W5MZI9
A0A2B4RT25,A0A2B4RT25_STYPI,unreviewed,Poly(U)-binding-splicing factor PUF60,PUF60 AWC38_SpisGene13919,Stylophora pistillata (Smooth cauliflower coral),670,,,RNA binding [GO:0003723],RNA binding [GO:0003723],GO:0003723,,,PF00076;,A0A2B4RT25
A0A2B4SIK7,A0A2B4SIK7_STYPI,unreviewed,Putative G-protein coupled receptor 133,GPR133 AWC38_SpisGene7003,Stylophora pistillata (Smooth cauliflower coral),801,cell surface receptor signaling pathway [GO:0007166],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166],G protein-coupled receptor activity [GO:0004930],GO:0004930; GO:0007166; GO:0016021,,,PF00002;PF01825;PF07691;,A0A2B4SIK7
